?# Nederlands;
lblPaswoord;Paswoord
lblEmail;E-mail
txtInloggen;Inloggen
btnInloggen;Inloggen
txtWelkom;Welkom
menuHome;Home
menuFoto;Foto's
txtTitel;Titel
txtTeaser;Teaser
txtOpmerking;Opmerking
btnVoegtoe;Voeg toe aan winkelmand
txtAantal;Aantal
txtProductInfo;Product Info
txtLabel;Label
txtCategorie;Categorie
txtBestellen;Bestellen
txtPrijs;Eenheidsprijs
txtNoIdentity;-Gelieve in te loggen of te registreren om de winkelmand te bestellen 
txtAlert1;-Aantal verplicht in te vullen
txtBevestigingBestellingWinkelmand;Druk op OK om de winkelmand te bestellen
txtToegevoegd;Item toegevoegd aan uw winkelwagen
txtFoto;Foto
btnRegister;Registreer
btnLostPassword;Wachtwoord vergeten
lblVoornaam;Voornaam
txtProduct;Product
txtRegisterEmail;Bedankt om u te registreren.U kan nu inloggen.
txtWinkelmand;Winkelwagen
txtWinkelmandLeegmaken;Winkelmand leegmaken
menuPagina;Pagina's
lbllabel;label
btnOpslaan;Opslaan
txtNewPage;Nieuwe pagina
lblstatus;status
lblPagina;Pagina
title_nl;Titel
nl;Nederlands
titel;Titel
teaser;Teaser
inhoud;Inhoud
fr;Français
lblFoto;Foto
lbleenheidsprijs;Eenheidsprijs
lblhomepage;Afbeelden op homepagina
menuProduct;Producten
menuCategorie;Categorieën
txtNewProduct;Nieuw product
lblCategorie;Categorie
txtNewCategorie;Nieuwe categorie
txtselectiefoto;Productfoto's
lblProduct;Product
txtselectiecategorie;Productcategorieën
Frans;Français
en;Engels
de;Duits
es;Spaans
txtProductInDeKijker;Product in de kijker
txtUserAlreadyRegistrated;-Dit e-mail adres is reeds geregistreerd
menuUser;Gebruikers
lblGebruiker;Gebruiker
lblGebruikerstatus;Status gebruiker
btnVerzenden;Verzenden
txtEmailNotFound;-E-mailadres is niet geregistreerd
txtLostPassword;Wachtwoord vergeten
lblReferentie;Geef uw referentie van uw bestelling op
lblBestellen;Bestellen
lblUwBestellingen;Uw bestellingen
txtNoAccess;-Geen toegang tot deze pagina
menuTaal;Taal
menuFirma;Firma
lblFirma;Firma
lblStraat;Straat
lblPostcode;Postcode
lblGemeente;Gemeente
lblTel;Tel
lblFax;Fax
lblEmail;Email
lblBTWnummer;BTW-nummer
lblWebsite;Website
